기준일,시간대,자치구,남자0-9세,남자10-14세,남자15-19세,남자20-24세,남자25-29세,남자30-34세,남자35-39세,남자40-44세,남자45-49세,남자50-54세,남자55-59세,남자60-64세,남자65-69세,남자70세이상,여자0-9세,여자10-14세,여자15-19세,여자20-24세,여자25-29세,여자30-34세,여자35-39세,여자40-44세,여자45-49세,여자50-54세,여자55-59세,여자60-64세,여자65-69세,여자70세이상
20200110,1,노원구,21617.5967,14154.79,20166.737,20113.7207,17568.9681,15242.1866,18899.2057,19211.9635,23738.7828,19785.5029,19918.6004,17216.2755,12463.3638,24731.7167,20390.3922,13159.8369,18000.2465,21920.2085,18278.5108,16996.5289,20612.0498,21390.3187,27003.8468,22882.937,24423.3695,21670.954,15541.9661,43000.8318
20200110,1,은평구,18350.7864,10120.4657,12852.8718,12985.8376,16106.3595,15852.0645,20403.0311,18157.8097,20282.7948,16639.651,16684.5758,14586.212,10491.9764,23508.809,16588.2701,9113.9147,12866.6765,16419.1839,18908.4182,17954.3415,21485.4745,19362.2932,21977.4166,18871.3689,21123.3491,18791.5928,14165.8015,39473.396
20200110,1,서대문구,11463.6619,5703.1639,8427.3725,13945.8029,15784.2602,12631.3478,14186.7417,13125.3181,14756.127,11713.7816,11983.7092,9841.8916,6855.8383,15736.4073,10698.6614,5584.9258,9746.5107,21859.3305,18024.4164,13921.9025,14915.4361,13178.1786,14217.9082,12753.2561,14107.9088,12416.4958,9065.2327,26326.6037
20200110,1,마포구,13697.189,6899.5332,10590.7071,16299.8309,19369.4394,17986.3947,21149.0271,18283.7013,18599.9946,13476.8569,13327.9303,10306.4009,7178.8598,16104.9348,13253.4195,6575.3723,11729.3226,23416.1375,24007.5093,21757.0272,22066.9866,18891.5696,18131.9817,14173.3299,14880.0711,12906.6953,9320.0127,26465.5068
20200110,1,양천구,17806.3348,12492.3371,15151.1965,11172.259,12365.9032,12119.2466,15350.334,16643.1908,19890.9921,15927.9339,15215.9564,12444.8852,9304.7277,17332.2694,16421.0293,11239.535,13926.398,12847.2837,14054.4216,13939.1122,17308.9903,18056.4896,20553.0955,16797.3659,17254.2171,15369.4354,11375.5086,27041.6221
20200110,1,강서구,21814.2226,10012.434,12965.3346,14284.7175,22143.5598,24166.4215,27920.5834,23221.9176,22925.4312,17544.9475,19203.7172,16439.1864,12601.1086,24290.1397,20996.9524,9561.2606,13005.356,18796.272,26857.6506,26997.9132,27113.7528,22518.4811,21797.4841,18945.2682,23057.1934,21226.1104,15744.7279,37469.8114
20200110,1,구로구,14700.9407,6593.683,8049.4439,10252.8977,14619.1831,15797.2452,18735.0661,17772.5937,17528.1791,13545.4867,14549.5605,12198.4251,9059.7547,17573.2062,15678.4533,6804.2943,8485.2083,12785.5442,16145.9754,16081.895,17511.1649,15329.3983,15780.9696,13849.1668,16241.088,14613.9275,11158.0079,25238.68
20200110,1,금천구,5904.4442,2844.7911,3890.6637,5710.782,10323.9177,10304.4754,10801.5991,8742.2916,9214.1076,7713.4807,8479.4487,6890.8279,5063.0078,8931.9778,6105.9057,3070.981,3669.5232,7023.855,9511.2707,8620.0013,8829.0256,7195.8717,8260.198,7764.8187,8859.446,7890.741,5920.2157,12792.4272
20200110,1,영등포구,13334.3356,5962.1265,7977.9341,10484.8755,18266.0107,19994.4628,21852.2865,17633.2092,18090.863,14826.6536,15174.7029,12192.1512,8787.6761,17645.3082,13262.6011,5560.5221,7387.7687,14561.2191,20623.531,19781.165,19069.2533,15559.3056,15130.2409,14009.2715,15801.6472,14238.9257,10334.1301,25804.4311
20200110,1,동작구,13563.3225,6414.3218,9626.5236,16615.1411,23321.9388,18471.2126,17987.2272,15469.1611,15963.0546,12594.5145,13135.9832,11701.2801,8503.1184,19209.9494,13782.6676,6349.5636,9585.8888,21037.3204,22171.9426,17655.5584,18044.2971,15810.2626,15545.8459,14460.3751,16840.281,15326.797,11605.1912,30440.3083
